year,session,month,level,scoring_section,max_score,mean_score,standard_deviation,population,source_url
2018,1,7,N2,Reading,60,26.8,13.1,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N3,Reading,60,28.4,10.3,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.3,17.4,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.7,21.2,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N1,Listening,60,32.5,11.7,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N2,Listening,60,34.3,11.8,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N3,Listening,60,33.5,10.6,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N4,Listening,60,28.9,9.0,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N5,Listening,60,28.3,10.0,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N1,Total Score,180,90.6,30.9,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N2,Total Score,180,87.4,29.4,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N3,Total Score,180,91.2,25.1,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N4,Total Score,180,83.2,24.1,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N5,Total Score,180,83.0,29.0,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,27.2,10.9,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,26.3,10.6,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,28.3,8.1,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N1,Reading,60,27.6,14.5,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N2,Reading,60,24.8,12.4,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N3,Reading,60,28.4,10.5,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.6,17.9,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,52.3,18.6,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N1,Listening,60,31.7,12.0,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N2,Listening,60,34.8,10.9,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N3,Listening,60,33.8,10.3,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N4,Listening,60,29.4,9.0,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N5,Listening,60,27.8,8.7,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N1,Total Score,180,86.6,31.5,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N2,Total Score,180,85.9,27.7,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N3,Total Score,180,90.5,24.2,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N4,Total Score,180,83.9,24.6,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2018,2,12,N5,Total Score,180,80.1,25.3,Total,https://www.jlpt.jp/statistics/pdf/2018_2_5.pdf
2019,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,28.1,10.9,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,26.3,10.7,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,29.5,8.9,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N1,Reading,60,27.7,13.4,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N2,Reading,60,26.3,12.3,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N3,Reading,60,29.3,10.9,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.0,17.1,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,53.9,18.9,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N1,Listening,60,31.3,12.1,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N2,Listening,60,32.7,12.5,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N3,Listening,60,33.3,10.6,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N4,Listening,60,28.3,8.8,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N5,Listening,60,27.6,10.1,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N1,Total Score,180,87.1,30.6,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N2,Total Score,180,85.2,29.7,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N3,Total Score,180,92.0,25.7,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N4,Total Score,180,82.3,23.5,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,1,7,N5,Total Score,180,81.5,27.1,Total,https://www.jlpt.jp/statistics/pdf/2019_1_5.pdf
2019,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,27.7,10.9,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,26.0,11.4,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,28.6,8.5,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N1,Reading,60,26.8,14.3,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N2,Reading,60,25.5,12.5,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N3,Reading,60,27.4,10.9,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,52.1,18.9,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,50.2,20.9,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N1,Listening,60,33.7,10.8,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N2,Listening,60,34.1,9.6,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N3,Listening,60,33.1,10.5,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N4,Listening,60,27.8,7.9,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N5,Listening,60,27.2,8.5,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N1,Total Score,180,88.1,30.4,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N2,Total Score,180,85.6,27.5,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N3,Total Score,180,89.1,24.8,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N4,Total Score,180,80.0,24.4,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2019,2,12,N5,Total Score,180,77.4,27.4,Total,https://www.jlpt.jp/statistics/pdf/2019_2_5.pdf
2020,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,31.8,11.3,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,31.8,12.0,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,32.9,9.6,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N1,Reading,60,31.8,14.4,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N2,Reading,60,29.0,13.0,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N3,Reading,60,29.8,10.4,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,57.5,20.0,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,58.0,20.9,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N1,Listening,60,35.1,10.9,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N2,Listening,60,37.7,10.6,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N3,Listening,60,37.6,10.9,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N4,Listening,60,31.0,9.3,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N5,Listening,60,29.0,9.6,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N1,Total Score,180,98.7,30.0,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N2,Total Score,180,98.4,29.5,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N3,Total Score,180,100.3,25.7,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N4,Total Score,180,88.5,26.6,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2020,2,12,N5,Total Score,180,87.0,28.4,Total,https://www.jlpt.jp/statistics/pdf/2020_2_5.pdf
2021,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,32.1,12.8,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,28.8,12.1,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
2021,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,32.0,10.7,Total,https://www.jlpt.jp/statistics/pdf/2021_1_5.pdf
